"year" "n" "Oxford winns"
1829 1 1
1830 0 -1
1831 0 -1
1832 0 -1
1833 0 -1
1834 0 -1
1835 0 -1
1836 1 0
1837 0 -1
1838 0 -1
1839 1 0
1840 1 0
1841 1 0
1842 1 1
1843 0 -1
1844 0 -1
1845 1 0
1846 1 0
1847 0 -1
1848 0 -1
1849 2 1
1850 0 -1
1851 0 -1
1852 1 1
1853 0 -1
1854 1 1
1855 0 -1
1856 1 0
1857 1 1
1858 1 0
1859 1 1
1860 1 0
1861 1 1
1862 1 1
1863 1 1
1864 1 1
1865 1 1
1866 1 1
1867 1 1
1868 1 1
1869 1 1
1870 1 0
1871 1 0
1872 1 0
1873 1 0
1874 1 0
1875 1 1
1876 1 0
1877 0 -1
1878 1 1
1879 1 0
1880 1 1
1881 1 1
1882 1 1
1883 1 1
1884 1 0
1885 1 1
1886 1 0
1887 1 0
1888 1 0
1889 1 0
1890 1 1
1891 1 1
1892 1 1
1893 1 1
1894 1 1
1895 1 1
1896 1 1
1897 1 1
1898 1 1
1899 1 0
1900 1 0
1901 1 1
1902 1 0
1903 1 0
1904 1 0
1905 1 1
1906 1 0
1907 1 0
1908 1 0
1909 1 1
1910 1 1
1911 1 1
1912 1 1
1913 1 1
1914 1 0
1915 0 -1
1916 0 -1
1917 0 -1
1918 0 -1
1919 0 -1
1920 1 0
1921 1 0
1922 1 0
1923 1 1
1924 1 0
1925 1 0
1926 1 0
1927 1 0
1928 1 0
1929 1 0
1930 1 0
1931 1 0
1932 1 0
1933 1 0
1934 1 0
1935 1 0
1936 1 0
1937 1 1
1938 1 1
1939 1 0
1940 0 -1
1941 0 -1
1942 0 -1
1943 0 -1
1944 0 -1
1945 0 -1
1946 1 1
1947 1 0
1948 1 0
1949 1 0
1950 1 0
1951 1 0
1952 1 1
1953 1 0
1954 1 1
1955 1 0
1956 1 0
1957 1 0
1958 1 0
1959 1 1
1960 1 1
1961 1 0
1962 1 0
1963 1 1
1964 1 0
1965 1 1
1966 1 1
1967 1 1
1968 1 0
1969 1 0
1970 1 0
1971 1 0
1972 1 0
1973 1 0
1974 1 1
1975 1 0
1976 1 1
1977 1 1
1978 1 1
1979 1 1
1980 1 1
1981 1 1
1982 1 1
1983 1 1
1984 1 1
1985 1 1
1986 1 0
1987 1 1
1988 1 1
1989 1 1
1990 1 1
1991 1 1
1992 1 1
1993 1 0
1994 1 0
1995 1 0
1996 1 0
1997 1 0
1998 1 0
1999 1 0
2000 1 1
2001 1 0
2002 1 1
2003 1 1
2004 1 0
2005 1 1
2006 1 1
2007 1 0
2008 1 1
2009 1 1
2010 1 0
2011 1 1
2012 1 0
2013 1 1
2014 1 1
2015 1 1
